구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
공중화장실,군자,서울특별시광진구천호대로지하550,서울특별시광진구천호대로지하550,N,12,6,1,0,1,0,18,1,1,서울교통공사,02-6311-5441,05:00~01:00,10-Nov,37.557336,127.0774,2018-02-28
공중화장실,굴포천,인천광역시부평구길주로지하623,인천광역시부평구길주로지하623,N,12,6,1,0,1,0,12,1,1,서울교통공사,02-6311-7581,05:00~01:00,12-Oct,37.508231,126.723624,2018-02-28
공중화장실,굽은다리,서울특별시강동구양재대로지하1572,서울특별시강동구양재대로지하1572,N,7,4,1,0,0,0,7,1,0,서울교통공사,02-6311-5501,05:00~01:00,07-Sep,37.545539,127.140717,2018-02-28
공중화장실,금호,서울특별시성동구동호로지하104,서울특별시성동구금호4가1470,N,6,7,2,0,0,0,5,2,0,서울교통공사,02-6110-3341,05:00~01:00,09-Jan,37.548038,127.015883,2018-02-28
공중화장실,길동,서울특별시강동구양재대로지하1480,서울특별시강동구양재대로지하1480,N,7,4,1,0,1,0,7,1,1,서울교통공사,02-6311-5491,05:00~01:00,14-Oct,37.537769,127.137803,2018-02-28
공중화장실,길음,서울특별시성북구동소문로지하248,서울특별시성북구길음1동877-66,N,7,4,2,0,2,1,14,2,2,서울교통공사,02-6110-4171,05:00~01:00,13-Jan,37.603225,127.024965,2018-02-28
공중화장실,김포공항,서울특별시강서구하늘길지하77,서울특별시강서구하늘길지하77,N,7,4,1,0,0,0,7,1,0,서울교통공사,02-6311-5121,05:00~01:00,06-Dec,37.561829,126.799739,2018-02-28
공중화장실,김포공항,서울특별시강서구하늘길지하77,서울특별시강서구하늘길지하77,N,3,2,0,0,0,0,2,0,0,서울교통공사,02-6311-5121,05:00~01:00,06-Dec,37.561829,126.799739,2018-02-28
공중화장실,까치산,서울특별시강서구강서로지하54,서울특별시강서구강서로지하54,N,15,8,1,0,1,0,16,1,1,서울교통공사,02-6311-5181,05:00~01:00,09-Oct,37.531768,126.844517,2018-02-28
공중화장실,까치울,경기도부천시원미구길주로지하626,경기도부천시원미구길주로지하626,N,7,4,1,0,0,0,11,1,0,서울교통공사,02-6311-7511,05:00~01:00,12-Oct,37.506233,126.80917,2018-02-28
공중화장실,낙성대,서울특별시관악구남부순환로지하1928,서울특별시관악구봉천6동1693-38,N,6,4,2,0,1,1,12,2,2,서울교통공사,02-6110-2271,05:00~01:00,10-Jan,37.477028,126.963396,2018-02-28
공중화장실,남성,서울특별시동작구사당로지하218,서울특별시동작구사당로지하218,N,8,5,1,0,0,0,8,1,0,서울교통공사,02-6311-7371,05:00~01:00,01-Jan,37.484876,126.968484,2018-02-28
공중화장실,남구로,서울특별시구로구도림로지하7,서울특별시구로구도림로지하7,N,8,4,1,0,0,0,8,1,0,서울교통공사,02-6311-7451,05:00~01:00,11-Oct,37.486051,126.885062,2018-02-28
공중화장실,남부터미널,서울특별시서초구서초중앙로지하31,서울특별시강남구서초3동1446-1,N,4,5,2,0,1,1,9,2,1,서울교통공사,02-6110-3411,05:00~01:00,09-Jan,37.486661,127.015218,2018-02-28
공중화장실,남태령,서울특별시서초구과천대로지하816,서울특별시서초구방배2동2909,N,3,4,2,0,0,0,3,2,0,서울교통공사,02-6110-4341,05:00~01:00,06-Jan,37.464364,126.98927,2018-02-28
공중화장실,남한산성입구,경기도성남시수정구산성대로지하445,경기도성남시수정구산성대로지하445,N,8,5,1,0,1,0,8,1,1,서울교통공사,02-6311-8221,05:00~01:00,09-Oct,37.451541,127.157632,2018-02-28
공중화장실,내방,서울특별시서초구서초대로지하103,서울특별시서초구서초대로지하103,N,10,7,1,0,0,0,7,1,0,서울교통공사,02-6311-7351,05:00~01:00,01-Jan,37.487707,126.991409,2018-02-28
공중화장실,노원,서울특별시노원구동일로지하1409,서울특별시노원구동일로지하1409,N,7,4,1,0,0,0,7,1,0,서울교통공사,02-6311-7131,05:00~01:00,06-Jul,37.654527,127.058362,2018-02-28
공중화장실,노원,서울특별시노원구상계로69-1,서울특별시노원구상계2동335,N,8,5,2,0,2,1,17,2,2,서울교통공사,02-6110-4111,05:00~01:00,13-Jan,37.655867,127.061991,2018-02-28
공중화장실,녹번,서울특별시은평구통일로지하602-1,서울특별시은평구녹번동48,N,7,10,1,0,0,0,7,1,0,서울교통공사,02-6110-3231,05:00~01:00,02-Jan,37.600702,126.936005,2018-02-28
공중화장실,녹사평,서울특별시용산구녹사평대로지하195,서울특별시용산구녹사평대로지하195,N,10,7,1,0,0,0,9,1,0,서울교통공사,02-6311-6291,05:00~01:00,01-Jun,37.534945,126.983163,2018-02-28
공중화장실,논현,서울특별시강남구학동로지하102,서울특별시강남구학동로지하102,N,15,11,1,0,0,0,14,1,0,서울교통공사,02-6311-7321,05:00~01:00,01-Jan,37.511206,127.019539,2018-02-28
공중화장실,논현,서울특별시강남구학동로지하102,서울특별시강남구학동로지하102,N,0,0,1,0,0,0,0,1,0,서울교통공사,02-6311-7321,05:00~01:00,16-Nov,37.511206,127.019539,2018-02-28
공중화장실,단대오거리,경기도성남시수정구산성대로지하365,경기도성남시수정구산성대로지하365,N,7,4,1,0,1,0,7,1,1,서울교통공사,02-6311-8231,05:00~01:00,09-Oct,37.445163,127.154033,2018-02-28
공중화장실,답십리,서울특별시성동구천호대로지하300,서울특별시성동구천호대로지하300,N,9,6,1,0,0,0,9,1,0,서울교통공사,02-6311-5421,05:00~01:00,08-Dec,37.567072,127.050193,2018-02-28
공중화장실,당고개(1층),서울특별시노원구상계로305,서울특별시노원구상계4동111,N,3,5,2,1,0,1,3,2,0,서울교통공사,02-6110-4091,05:00~01:00,10-Jan,37.670556,127.079306,2018-02-28
공중화장실,당고개(2층),서울특별시노원구상계로305,서울특별시노원구상계4동111,N,5,8,1,0,0,1,7,1,0,서울교통공사,02-6110-4091,05:00~01:00,10-Jan,37.670556,127.079306,2018-02-28
공중화장실,당산,서울특별시영등포구당산로229,서울특별시영등포구당산동5가323-1,N,4,3,2,0,0,1,10,2,1,서울교통공사,02-6110-2371,05:00~01:00,08-Jan,37.534931,126.90273,2018-02-28
공중화장실,대림,서울특별시영등포구도림로지하137,서울특별시영등포구도림로지하137,N,8,5,1,0,0,0,8,1,0,서울교통공사,02-6311-7441,05:00~01:00,01-Jan,37.492981,126.893984,2018-02-28
공중화장실,대흥,서울특별시마포구대흥로지하85,서울특별시마포구대흥로지하85,N,7,3,0,0,0,0,5,0,0,서울교통공사,02-6311-6251,05:00~01:00,17-Jul,37.547674,126.940143,2018-02-28
공중화장실,대림,서울특별시구로구도림천로351,서울특별시구로구구로6동125-66,N,8,7,2,0,2,1,16,2,2,서울교통공사,02-6110-2331,05:00~01:00,10-Jan,37.492504,126.894962,2018-02-28
공중화장실,대청,서울특별시강남구일원로지하2,서울특별시강남구개포동18-10,N,3,3,1,0,0,0,5,1,0,서울교통공사,02-6110-3471,05:00~01:00,04-Jan,37.493686,127.079479,2018-02-28
공중화장실,대치,서울특별시강남구남부순환로지하2952,서울특별시강남구대치2동509,N,4,5,1,0,0,0,6,1,0,서울교통공사,02-6110-3451,05:00~01:00,04-Jan,37.494543,127.063426,2018-02-28
공중화장실,도곡,서울특별시강남구남부순환로지하2814,서울특별시강남구도곡2동467-5,N,4,4,1,0,0,0,6,1,0,서울교통공사,02-6110-3441,05:00~01:00,04-Jan,37.490825,127.055306,2018-02-28
공중화장실,도림천,서울특별시구로구경인로67길160,서울특별시구로구신도림동271-62,N,2,4,2,0,0,0,2,2,0,서울교통공사,02-6110-2441,05:00~01:00,06-Jan,37.514401,126.882685,2018-02-28
공중화장실,도봉산,서울특별시도봉구도봉로964-40,서울특별시도봉구도봉로964-40,N,6,3,1,0,0,0,6,1,0,서울교통공사,02-6311-7101,05:00~01:00,16-Nov,37.689596,127.044006,2018-02-28
공중화장실,도봉산,서울특별시도봉구도봉로964-40,서울특별시도봉구도봉로964-40,N,10,7,1,0,1,0,10,1,1,서울교통공사,02-6311-7101,05:00~01:00,14-Oct,37.689596,127.044006,2018-02-28
공중화장실,독립문,서울특별시서대문구통일로지하247,서울특별시서대문구현저동101,N,4,4,2,0,1,1,9,2,2,서울교통공사,02-6110-3261,05:00~01:00,12-Jan,37.574301,126.955918,2018-02-28
공중화장실,독바위,서울특별시은평구불광로지하129-1,서울특별시은평구불광로지하129-1,N,9,7,1,0,0,0,4,1,0,서울교통공사,02-6311-6131,05:00~01:00,17-Jul,37.618387,126.930848,2018-02-28
공중화장실,돌곶이,서울특별시성북구화랑로지하243,서울특별시성북구화랑로지하243,N,8,5,1,1,0,0,7,1,0,서울교통공사,02-6311-6431,05:00~01:00,01-May,37.610493,127.054214,2018-02-28
공중화장실,동대문(1),서울특별시종로구종로지하302,서울특별시종로구창신1동552,N,3,5,1,0,0,0,4,1,0,서울교통공사,02-6110-1281,05:00~01:00,01-Jan,37.571743,127.011169,2018-02-28
공중화장실,동대문(4),서울특별시종로구율곡로지하308,서울특별시종로구종로6가69,N,4,4,1,0,0,0,5,1,0,서울교통공사,02-6110-4211,05:00~01:00,10-Jan,37.570385,127.009529,2018-02-28
공중화장실,동대문역사문화공원,서울특별시중구마른내로지하162,서울특별시중구마른내로지하162,N,7,4,1,0,1,0,9,1,1,서울교통공사,02-6311-5361,05:00~01:00,09-Dec,37.565102,127.005576,2018-02-28
공중화장실,동대문역사문화공원(2),서울특별시중구을지로지하279,서울특별시중구을지로7가1,N,4,8,2,0,0,0,21,2,0,서울교통공사,02-6110-2051,05:00~01:00,10-Jan,37.565718,127.008485,2018-02-28
공중화장실,동대문역사문화공원(4)(지하1층),서울특별시중구장충단로지하230,서울특별시중구광희동1가194,N,3,4,2,0,1,0,13,2,1,서울교통공사,02-6110-4221,05:00~01:00,10-Jan,37.564478,127.007159,2018-02-28
공중화장실,동대문역사문화공원(4)(지하2층),서울특별시중구장충단로지하230,서울특별시중구광희동1가194,N,3,3,2,0,1,0,9,2,1,서울교통공사,02-6110-4221,05:00~01:00,10-Jan,37.564478,127.007159,2018-02-28
공중화장실,동대입구,서울특별시중구동호로지하256,서울특별시중구장충동2가189-2,N,5,4,2,0,1,1,10,2,2,서울교통공사,02-6110-3321,05:00~01:00,10-Jan,37.559227,127.005275,2018-02-28
공중화장실,동묘앞,서울특별시종로구지봉로지하24,서울특별시종로구지봉로지하24,N,7,5,1,0,0,0,5,1,0,서울교통공사,02-6311-6361,05:00~01:00,01-Jan,37.572729,127.013819,2018-02-28
공중화장실,동묘앞(1층),서울특별시종로구종로359,서울특별시종로구숭인동117번지,N,2,1,0,0,1,0,3,0,0,서울교통공사,02-6110-1271,05:00~01:00,05-Jan,37.573281,127.016649,2018-02-28
공중화장실,동묘앞(대합실하선),서울특별시종로구종로359,서울특별시종로구숭인동117번지,N,3,3,0,0,1,0,4,0,0,서울교통공사,02-6110-1271,05:00~01:00,05-Jan,37.573281,127.016649,2018-02-28
공중화장실,동묘앞(상선승강장),서울특별시종로구종로359,서울특별시종로구숭인동117번지,N,2,3,0,0,0,0,5,0,1,서울교통공사,02-6110-1271,05:00~01:00,05-Jan,37.573281,127.016649,2018-02-28
공중화장실,동묘앞(하선승강장),서울특별시종로구종로359,서울특별시종로구숭인동117번지,N,2,1,0,0,0,0,7,0,1,서울교통공사,02-6110-1271,05:00~01:00,05-Jan,37.573281,127.016649,2018-02-28
공중화장실,동작,서울특별시동작구현충로257,서울특별시동작구동작동121-5,N,6,4,2,1,1,1,7,2,1,서울교통공사,02-6110-4311,05:00~01:00,10-Jan,37.503465,126.979927,2018-02-28
공중화장실,둔촌역,서울특별시강동구양재대로지하1369,서울특별시강동구양재대로지하1369,N,8,5,1,0,0,0,8,1,0,서울교통공사,02-6311-5541,05:00~01:00,08-Dec,37.527657,127.134042,2018-02-28
공중화장실,디지털미디어시티,서울특별시은평구수색로지하175,서울특별시은평구수색로지하175,N,18,13,1,0,0,0,11,1,0,서울교통공사,02-6311-6181,05:00~01:00,01-Mar,37.577964,126.898232,2018-02-28
공중화장실,디지털미디어시티,서울특별시은평구수색로지하175,서울특별시은평구수색로지하175,N,7,5,1,0,0,0,4,1,0,서울교통공사,02-6311-6181,05:00~01:00,01-Mar,37.577964,126.898232,2018-02-28
공중화장실,뚝섬,서울특별시성동구아차산로18,서울특별시성동구성수1가656-745,N,7,4,2,0,2,1,13,2,2,서울교통공사,02-6110-2101,05:00~01:00,12-Jan,37.547177,127.04738,2018-02-28
공중화장실,뚝섬유원지,서울특별시광진구능동로10,서울특별시광진구능동로10,N,10,7,1,0,0,0,6,1,0,서울교통공사,02-6311-7281,05:00~01:00,01-Feb,37.531537,127.064502,2018-02-28
공중화장실,마곡,서울특별시강서구공항대로지하163,서울특별시강서구공항대로지하163,N,7,5,1,0,0,0,7,1,0,서울교통공사,02-6311-5141,05:00~01:00,08-May,37.561084,126.823603,2018-02-28
공중화장실,마들,서울특별시노원구동일로지하1530-1,서울특별시노원구동일로지하1530-1,N,13,7,1,0,1,0,13,1,1,서울교통공사,02-6311-7121,05:00~01:00,14-Oct,37.665375,127.055425,2018-02-28
공중화장실,마장,서울특별시성동구마장로지하296,서울특별시성동구마장로지하296,N,6,3,1,0,1,0,6,1,1,서울교통공사,02-6311-5411,05:00~01:00,13-Nov,37.566127,127.040776,2018-02-28
공중화장실,마천,서울특별시송파구마천로57길지하7,서울특별시송파구마천로57길지하7,N,12,7,1,0,1,0,15,1,1,서울교통공사,02-6311-5601,05:00~01:00,09-Oct,37.49502,127.150601,2018-02-28
공중화장실,마포,서울특별시마포구마포대로지하33,서울특별시마포구마포대로지하33,N,8,5,1,0,0,0,8,1,0,서울교통공사,02-6311-5281,05:00~01:00,07-Sep,37.539705,126.943851,2018-02-28
공중화장실,마포구청,서울특별시마포구월드컵로지하190,서울특별시마포구월드컵로지하190,N,8,5,1,0,0,0,7,1,0,서울교통공사,02-6311-6201,05:00~01:00,01-Mar,37.563418,126.901283,2018-02-28
공중화장실,마포구청,서울특별시마포구월드컵로지하190,서울특별시마포구월드컵로지하190,N,6,4,1,0,0,0,4,1,0,서울교통공사,02-6311-6201,05:00~01:00,01-Mar,37.563418,126.901283,2018-02-28
공중화장실,망원,서울특별시마포구월드컵로지하77,서울특별시마포구월드컵로지하77,N,6,3,0,0,0,0,6,0,0,서울교통공사,02-6311-6211,05:00~01:00,17-Jul,37.555757,126.907718,2018-02-28
공중화장실,매봉,서울특별시강남구남부순환로지하2744,서울특별시강남구도곡2동464-1,N,4,6,1,0,0,0,6,1,0,서울교통공사,02-6110-3431,05:00~01:00,03-Jan,37.486941,127.046621,2018-02-28
공중화장실,먹골,서울특별시중랑구동일로지하901,서울특별시중랑구동일로지하901,N,9,5,1,0,1,0,10,1,1,서울교통공사,02-6311-7181,05:00~01:00,14-Oct,37.61078,127.075518,2018-02-28
공중화장실,면목,서울특별시중랑구면목로지하407,서울특별시중랑구면목로지하407,N,11,6,1,0,1,0,12,1,1,서울교통공사,02-6311-7211,05:00~01:00,09-Oct,37.588745,127.085305,2018-02-28
공중화장실,명일,서울특별시강동구양재대로지하1632,서울특별시강동구양재대로지하1632,N,8,5,1,0,0,0,8,1,0,서울교통공사,02-6311-5511,05:00~01:00,08-Dec,37.55131,127.141825,2018-02-28
공중화장실,명동,서울특별시중구퇴계로지하126,서울특별시중구충무로1가64,N,5,6,1,0,0,0,9,1,0,서울교통공사,02-6110-4241,05:00~01:00,01-Jan,37.560822,126.985356,2018-02-28
공중화장실,모란,경기도성남시수정구산성대로지하100,경기도성남시수정구산성대로지하100,N,10,5,1,0,1,0,10,1,1,서울교통공사,02-6311-8261,05:00~01:00,13-Nov,37.433072,127.127123,2018-02-28
공중화장실,목동,서울특별시양천구오목로지하245,서울특별시양천구오목로지하245,N,7,4,1,0,0,0,7,1,0,서울교통공사,02-6311-5201,05:00~01:00,06-Jul,37.526072,126.862112,2018-02-28
공중화장실,몽촌토성,서울특별시송파구올림픽로지하383,서울특별시송파구올림픽로지하383,N,6,3,1,0,1,0,6,1,1,서울교통공사,02-6311-8131,05:00~01:00,10-Nov,37.517641,127.110551,2018-02-28
공중화장실,무악재,서울특별시서대문구통일로지하361,서울특별시서대문구홍제4동26-1,N,3,3,1,0,0,0,3,1,0,서울교통공사,02-6110-3251,05:00~01:00,02-Jan,37.582361,126.950438,2018-02-28
공중화장실,문정,서울특별시송파구송파대로지하179,서울특별시송파구송파대로지하179,N,8,5,1,0,1,0,8,1,1,서울교통공사,02-6311-8181,05:00~01:00,15-Dec,37.495002,127.103639,2018-02-28
공중화장실,문래,서울특별시영등포구당산로지하28,서울특별시영등포구문래동3가54,N,5,7,2,0,1,1,15,2,2,서울교통공사,02-6110-2351,05:00~01:00,11-Jan,37.517887,126.894751,2018-02-28
공중화장실,미아,서울특별시강북구도봉로지하198,서울특별시강북구미아3동197-14,N,5,6,1,0,0,0,7,1,0,서울교통공사,02-6110-4151,05:00~01:00,03-Jan,37.629878,127.024714,2018-02-28
공중화장실,미아사거리,서울특별시강북구도봉로지하50,서울특별시강북구미아4동71-5,N,6,5,2,0,1,1,13,2,1,서울교통공사,02-6110-4161,05:00~01:00,08-Jan,37.615104,127.030046,2018-02-28
공중화장실,반포,서울특별시서초구신반포로지하241,서울특별시서초구신반포로지하241,N,10,7,1,0,0,0,9,1,0,서울교통공사,02-6311-7331,05:00~01:00,01-Jan,37.508213,127.009658,2018-02-28
공중화장실,발산,서울특별시강서구공항대로지하267,서울특별시강서구공항대로지하267,N,7,4,1,0,1,0,8,1,1,서울교통공사,02-6311-5151,05:00~01:00,09-Jul,37.558683,126.835406,2018-02-28
공중화장실,방이,서울특별시송파구양재대로지하1127,서울특별시송파구양재대로지하1127,N,7,4,1,0,1,0,7,1,1,서울교통공사,02-6311-5561,05:00~01:00,13-Oct,37.508559,127.123771,2018-02-28
공중화장실,방화,서울특별시강서구금낭화로지하132,서울특별시강서구금낭화로지하132,N,7,4,1,0,1,0,7,1,1,서울교통공사,02-6311-5101,05:00~01:00,15-Dec,37.577622,126.810637,2018-02-28
공중화장실,방배,서울특별시서초구방배로지하80,서울특별시서초구방배동225,N,4,4,2,0,0,1,8,2,0,서울교통공사,02-6110-2251,05:00~01:00,09-Jan,37.481297,126.99732,2018-02-28
공중화장실,버티고개,서울특별시중구다산로지하38,서울특별시중구다산로지하38,N,7,5,1,0,0,0,4,1,0,서울교통공사,02-6311-6321,05:00~01:00,01-Aug,37.547892,127.004934,2018-02-28
공중화장실,보문,서울특별시성북구보문로지하116,서울특별시성북구보문로지하116,N,13,9,1,0,0,0,10,1,0,서울교통공사,02-6311-6381,05:00~01:00,01-Jan,37.58533,127.017202,2018-02-28
공중화장실,보라매,서울특별시동작구상도로지하2,서울특별시동작구상도로지하2,N,10,7,1,0,0,0,10,1,0,서울교통공사,02-6311-7421,05:00~01:00,01-Jan,37.499929,126.918093,2018-02-28
공중화장실,복정,서울특별시송파구송파대로지하6,서울특별시송파구송파대로지하6,N,12,7,1,0,1,0,13,1,1,서울교통공사,02-6311-8201,05:00~01:00,15-Dec,37.470375,127.124496,2018-02-28
공중화장실,봉천,서울특별시관악구남부순환로지하1721,서울특별시관악구봉천8동930-45,N,5,4,2,0,1,1,10,2,2,서울교통공사,02-6110-2291,05:00~01:00,10-Jan,37.482518,126.941481,2018-02-28
공중화장실,봉화산,서울특별시중랑구신내로지하232,서울특별시중랑구신내로지하232,N,8,5,1,0,0,0,6,1,0,서울교통공사,02-6311-6471,05:00~01:00,01-Jan,37.621869,127.079533,2018-02-28
공중화장실,부천시청,경기도부천시원미구길주로지하202,경기도부천시원미구길주로지하202,N,8,5,1,0,0,0,13,1,0,서울교통공사,02-6311-7551,05:00~01:00,12-Oct,37.504669,126.761413,2018-02-28
공중화장실,부천종합운동장,경기도부천시원미구길주로지하502,경기도부천시원미구길주로지하502,N,7,4,1,0,0,0,11,1,0,서울교통공사,02-6311-7521,05:00~01:00,12-Oct,37.505452,126.795309,2018-02-28
